filename,age,sex
20090430-09.19-01_noexif.jpg,juv,M
20090430-09.30-02_noexif.jpg,ad,F
20090430-09.38-03_noexif.jpg,juv,M
20090430-09.38-04_noexif.jpg,juv,M
20090430-10.05-09_noexif.jpg,juv,M
20090430-10.28-11_noexif.jpg,juv,F
20090430-10.32-12_noexif.jpg,juv,M
20090430-10.39-14_noexif.jpg,juv,M
20090430-11.04-16_noexif.jpg,juv,F
20090430-11.25-18_noexif.jpg,juv,M
20090430-11.32-19_noexif.jpg,ad,M
20090430-11.59-21_noexif.jpg,ad,F
20090430-11.59-22_noexif.jpg,ad,F
20090430-12.09-23_noexif.jpg,ad,M
20090430-12.09-24_noexif.jpg,ad,M
20090430-14.02-25_noexif.jpg,,M
20090430-14.22-26_noexif.jpg,,M
20090430-14.28-27_noexif.jpg,,M
20090430-14.46-30_noexif.jpg,juv,
20090430-14.57-32_noexif.jpg,ad,F
20090430-15.23-37_noexif.jpg,juv,M
20090430-15.24-38_noexif.jpg,juv,F
20090430-15.42-41_noexif.jpg,ad,M
20090430-15.51-42_noexif.jpg,ad,M
20090430-15.51-43_noexif.jpg,ad,M
20090430-17.38-44_noexif.jpg,ad,F
20090430-18.13-45_noexif.jpg,ad,M
20090430-18.13-51_noexif.jpg,,M
20090430-18.25-47_noexif.jpg,ad,F
20090430-18.49-48_noexif.jpg,,M
20090430-18.49-49_noexif.jpg,ad,M
20090501-09.06-53_noexif.jpg,juv,M
20090501-09.06-54_noexif.jpg,ad,M
20090501-09.24-55_noexif.jpg,juv,F
20090501-09.46-59_noexif.jpg,juv,M
20090501-09.49-60_noexif.jpg,juv,M
20090501-10.44-62_noexif.jpg,juv,F
20090501-13.10-65_noexif.jpg,juv,M
20090501-13.21-66_noexif.jpg,juv,M
20090501-13.45-67_noexif.jpg,,M
20090501-14.01-69_noexif.jpg,ad,F
20090501-14.01-70_noexif.jpg,juv,M
20090501-14.12-71_noexif.jpg,juv,M
20090501-14.25-72_noexif.jpg,juv,F
20090502-07.58-73_noexif.jpg,juv,F
20090502-07.58-74_noexif.jpg,ad,M
20090502-08.05-75_noexif.jpg,juv,F
20090502-08.05-76_noexif.jpg,ad,M
20090502-08.28-77_noexif.jpg,juv,M
20090502-08.39-78_noexif.jpg,juv,F
20090502-08.39-79_noexif.jpg,juv,M
20090502-08.47-80_noexif.jpg,juv,M
20090502-09.26-83_noexif.jpg,juv,M
20090502-09.28-84_noexif.jpg,ad,F
20090502-09.46-85_noexif.jpg,juv,M
20090502-09.48-86_noexif.jpg,ad,F
20090502-10.02-87_noexif.jpg,juv,M
20090502-10.03-88_noexif.jpg,juv,F
20090502-10.22-89_noexif.jpg,juv,M
20090502-10.33-90_noexif.jpg,juv,M
20090502-10.33-91_noexif.jpg,juv,F
20090502-10.39-92_noexif.jpg,juv,M
20090502-10.55-93_noexif.jpg,ad,F
20090502-10.55-94_noexif.jpg,ad,F
20090502-12.00-95_noexif.jpg,juv,M
20090502-12.05-96_noexif.jpg,ad,F
20090502-12.14-97_noexif.jpg,ad,M
20090502-12.28-98_noexif.jpg,ad,F
20090502-12.30-99_noexif.jpg,ad,M
20090502-13.07-100_noexif.jpg,ad,F
20090502-13.07-101_noexif.jpg,ad,M
20090502-13.16-102_noexif.jpg,ad,M
20090502-13.16-103_noexif.jpg,ad,M
20090502-13.18-104_noexif.jpg,juv,F
